y,x,street_count,highway,ref,geometry
-11.9848688,-77.0644328,3,N/A,N/A,POINT (-77.0644328 -11.9848688)
-12.0005094,-77.0534134,3,N/A,N/A,POINT (-77.0534134 -12.0005094)
-11.9844978,-77.0374329,4,N/A,N/A,POINT (-77.0374329 -11.9844978)
-12.0028523,-77.0525744,3,N/A,N/A,POINT (-77.0525744 -12.0028523)
-12.0055381,-77.0482884,3,N/A,N/A,POINT (-77.0482884 -12.0055381)
-11.978782,-77.0596355,3,N/A,N/A,POINT (-77.0596355 -11.978782)
-11.9728898,-77.0438303,3,N/A,N/A,POINT (-77.0438303 -11.9728898)
-11.9737492,-77.0435873,1,N/A,N/A,POINT (-77.0435873 -11.9737492)
-11.9700683,-77.0460612,3,N/A,N/A,POINT (-77.0460612 -11.9700683)
-11.9846991,-77.0633449,3,N/A,N/A,POINT (-77.0633449 -11.9846991)
-11.9747117,-77.0526579,3,N/A,N/A,POINT (-77.0526579 -11.9747117)
-12.0112006,-77.0476053,3,N/A,N/A,POINT (-77.0476053 -12.0112006)
-11.9746453,-77.0412134,1,N/A,N/A,POINT (-77.0412134 -11.9746453)
-11.9829053,-77.0530547,1,N/A,N/A,POINT (-77.0530547 -11.9829053)
-11.9765068,-77.0368144,3,N/A,N/A,POINT (-77.0368144 -11.9765068)
-11.9817585,-77.0653206,3,motorway_junction,17A,POINT (-77.0653206 -11.9817585)
-11.9836076,-77.0454545,3,N/A,N/A,POINT (-77.0454545 -11.9836076)
-11.9897021,-77.0458027,3,N/A,N/A,POINT (-77.0458027 -11.9897021)
-11.9811445,-77.0433875,3,N/A,N/A,POINT (-77.0433875 -11.9811445)
-11.9808527,-77.0528718,3,N/A,N/A,POINT (-77.0528718 -11.9808527)
-11.971344,-77.039923,1,N/A,N/A,POINT (-77.039923 -11.971344)
-11.9842338,-77.063412,3,N/A,N/A,POINT (-77.063412 -11.9842338)
-11.984398,-77.0645141,3,N/A,N/A,POINT (-77.0645141 -11.984398)
-11.9915314,-77.0428595,3,N/A,N/A,POINT (-77.0428595 -11.9915314)
-11.9847938,-77.0369378,1,N/A,N/A,POINT (-77.0369378 -11.9847938)
-11.9869096,-77.0585247,3,N/A,N/A,POINT (-77.0585247 -11.9869096)
